match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
Creepwave vs Tundra Esports,2.36-1.60,16.00(3.60)1.30,-,24 Августа 21:50 2021,ESL One Fall 2021,Creepwave,"['---', 'ATF', 'Fishman', 'Crystallis', 'Chuvash']",Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']","['Pangolier', 'Gyrocopter', 'Beastmaster', 'Enigma', 'Troll Warlord', 'Medusa', 'Bloodseeker']","['Monkey King', 'Invoker', 'Morphling', 'Weaver', 'Sven', 'Templar Assassin', 'Phantom Assassin']","['Ember Spirit', 'Slardar', 'Omniknight', 'Slark', 'Mirana']","['Undying', 'Terrorblade', 'Void Spirit', 'Keeper of the Light', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",23 : 44
Alliance vs Team Liquid,3.14-1.37,2.45(2.05)4.60,-,24 Августа 19:10 2021,ESL One Fall 2021,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Beastmaster', 'Clinkz', 'Faceless Void', 'Medusa', 'Lifestealer', 'Terrorblade', 'Phantom Lancer']","['Keeper of the Light', 'Lone Druid', 'Storm Spirit', 'Legion Commander', 'Winter Wyvern', 'Lina', 'Lycan']","['Bloodseeker', 'Razor', 'Templar Assassin', 'Earth Spirit', 'Rubick']","['Morphling', 'Viper', 'Sand King', 'Lion', 'Pangolier']",,"<span class=""team__title-label"">Победа</span>",22 : 26
Alliance vs Team Liquid,3.14-1.37,2.45(2.05)4.60,-,24 Августа 19:10 2021,ESL One Fall 2021,Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Lone Druid', 'Bloodseeker', 'Phantom Lancer', 'Terrorblade', 'Sven', 'Storm Spirit', 'Batrider']","['Beastmaster', 'Keeper of the Light', 'Medusa', 'Gyrocopter', 'Luna', 'Faceless Void', 'Morphling']","['Weaver', 'Pangolier', 'Lycan', 'Lina', 'Phoenix']","['Void Spirit', 'Clinkz', 'Slardar', 'Skywrath Mage', 'Omniknight']",,"<span class=""team__title-label"">Победа</span>",19 : 39
PSG.LGD vs SG e-sports,1.46-2.75,1.37(3.30)13.00,-,24 Августа 19:00 2021,ESL One Fall 2021,PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']",SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']","['Omniknight', 'Io', 'Batrider', 'Invoker', 'Puck', 'Axe', 'Bloodseeker']","['Keeper of the Light', 'Clinkz', 'Morphling', 'Leshrac', 'Phantom Lancer', 'Slark', 'Night Stalker']","['Pangolier', 'Troll Warlord', 'Underlord', 'Elder Titan', 'Oracle']","['Terrorblade', 'Lina', 'Sand King', 'Mirana', 'Clockwerk']","<span class=""team__title-label"">Победа</span>",,29 : 13
PSG.LGD vs SG e-sports,1.46-2.75,1.37(3.30)13.00,-,24 Августа 19:00 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']","['Clinkz', 'Leshrac', 'Slark', 'Morphling', 'Medusa', 'Troll Warlord', 'Faceless Void']","['Keeper of the Light', 'Omniknight', 'Invoker', 'Batrider', 'Lycan', 'Doom', 'Beastmaster']","['Sven', 'Ember Spirit', 'Sand King', 'Mirana', 'Io']","['Pangolier', 'Monkey King', 'Earthshaker', 'Windranger', 'Ancient Apparition']",,"<span class=""team__title-label"">Победа</span>",40 : 51
Team Empire vs beastcoast,1.67-2.23,6.20(2.30)1.95,-,24 Августа 19:00 2021,ESL One Fall 2021,Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']",beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Wisper', 'Scofield']","['Pangolier', 'Keeper of the Light', 'Slark', 'Sand King', 'Phantom Assassin', 'Batrider', 'Queen of Pain']","['Invoker', 'Beastmaster', 'Omniknight', 'Io', 'Night Stalker', 'Ancient Apparition', 'Bane']","['Sven', 'Lina', 'Mars', 'Dark Willow', 'Winter Wyvern']","['Lifestealer', 'Lich', 'Magnus', 'Leshrac', 'Nyx Assassin']","<span class=""team__title-label"">Победа</span>",,40 : 25
Team Empire vs beastcoast,1.67-2.23,6.20(2.30)1.95,-,24 Августа 19:00 2021,ESL One Fall 2021,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']","['Lina', 'Invoker', 'Night Stalker', 'Beastmaster', 'Outworld Destroyer', 'Void Spirit', 'Kunkka']","['Keeper of the Light', 'Pangolier', 'Batrider', 'Dark Seer', 'Earthshaker', 'Winter Wyvern', 'Silencer']","['Omniknight', 'Slark', 'Windranger', 'Sand King', 'Earth Spirit']","['Sven', 'Puck', 'Enigma', 'Nyx Assassin', 'Hoodwink']","<span class=""team__title-label"">Победа</span>",,39 : 15
Team MagMa vs Elephant,5.55-1.15,4.70-1.17,-,24 Августа 13:44 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']","['Omniknight', 'Clockwerk', 'Earthshaker', 'Keeper of the Light', 'Dark Seer', 'Arc Warden', 'Ursa']","['Nyx Assassin', 'Lina', 'Earth Spirit', 'Tidehunter', 'Monkey King', 'Bloodseeker', 'Night Stalker']","['Medusa', 'Shadow Fiend', 'Centaur Warrunner', 'Lion', 'Undying']","['Clinkz', 'Storm Spirit', 'Pangolier', 'Pudge', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",15 : 37
Team MagMa vs Elephant,5.55-1.15,4.70-1.17,-,24 Августа 13:44 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']","['Silencer', 'Clockwerk', 'Bloodseeker', 'Monkey King', 'Dark Seer', 'Faceless Void', 'Spectre']","['Keeper of the Light', 'Nyx Assassin', 'Lion', 'Lifestealer', 'Juggernaut', 'Phantom Lancer', 'Slark']","['Weaver', 'Void Spirit', 'Pangolier', 'Lina', 'Elder Titan']","['Night Stalker', 'Invoker', 'Batrider', 'Naga Siren', 'Jakiro']","<span class=""team__title-label"">Победа</span>",,50 : 27
Team MagMa vs Elephant,5.55-1.15,4.70-1.17,-,24 Августа 13:44 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']","['Silencer', 'Clockwerk', 'Bloodseeker', 'Slark', 'Monkey King', 'Tidehunter', 'Doom']","['Nyx Assassin', 'Lina', 'Void Spirit', 'Puck', 'Ember Spirit', 'Morphling', 'Ursa']","['Invoker', 'Medusa', 'Pangolier', 'Keeper of the Light', 'Abaddon']","['Lifestealer', 'Storm Spirit', 'Night Stalker', 'Shadow Shaman', 'Omniknight']",,"<span class=""team__title-label"">Победа</span>",11 : 35
Aster.Aries vs Team Aster,10.03-1.05,7.50-1.07,-,24 Августа 11:10 2021,i-League 2021 Season 2,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']","['Nyx Assassin', 'Winter Wyvern', 'Tidehunter', 'Timbersaw', 'Enchantress', 'Doom', 'Dragon Knight']","['Storm Spirit', 'Keeper of the Light', 'Spectre', 'Beastmaster', 'Lycan', 'Terrorblade', 'Slark']","['Troll Warlord', 'Lina', 'Night Stalker', 'Lion', 'Chen']","['Monkey King', 'Void Spirit', 'Bristleback', 'Earthshaker', 'Silencer']","<span class=""team__title-label"">Победа</span>",,28 : 22
Aster.Aries vs Team Aster,10.03-1.05,7.50-1.07,-,24 Августа 11:10 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Nyx Assassin', 'Keeper of the Light', 'Puck', 'Luna', 'Gyrocopter', 'Batrider', 'Pangolier']","['Winter Wyvern', 'Lina', 'Timbersaw', 'Shadow Demon', 'Sand King', 'Tidehunter', 'Beastmaster']","['Medusa', 'Queen of Pain', 'Slardar', 'Earthshaker', 'Undying']","['Sven', 'Storm Spirit', 'Windranger', 'Pudge', 'Lich']",,"<span class=""team__title-label"">Победа</span>",8 : 32
Invictus Gaming vs Vici Gaming,1.97-1.85,7.50-1.07,-,24 Августа 08:10 2021,i-League 2021 Season 2,Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Clockwerk', 'Storm Spirit', 'Morphling', 'Omniknight', 'Terrorblade', 'Void Spirit', 'Invoker']","['Nyx Assassin', 'Lina', 'Disruptor', 'Timbersaw', 'Oracle', 'Puck', 'Viper']","['Monkey King', 'Shadow Fiend', 'Pangolier', 'Keeper of the Light', 'Ogre Magi']","['Bloodseeker', 'Zeus', 'Tidehunter', 'Phoenix', 'Lion']","<span class=""team__title-label"">Победа</span>",,36 : 23
Invictus Gaming vs Vici Gaming,1.97-1.85,7.50-1.07,-,24 Августа 08:10 2021,i-League 2021 Season 2,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Shadow Demon', 'Storm Spirit', 'Night Stalker', 'Timbersaw', 'Dragon Knight', 'Beastmaster', 'Mars']","['Omniknight', 'Nyx Assassin', 'Tidehunter', 'Monkey King', 'Silencer', 'Terrorblade', 'Troll Warlord']","['Sven', 'Lina', 'Sand King', 'Lion', 'Oracle']","['Spectre', 'Void Spirit', 'Slardar', 'Keeper of the Light', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",10 : 19
Alliance vs beastcoast,1.39-3.06,3.35(1.95)3.35,-,23 Августа 21:40 2021,ESL One Fall 2021,beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Wisper', 'Scofield']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Keeper of the Light', 'Beastmaster', 'Tiny', 'Ember Spirit', 'Anti-Mage', 'Dark Seer', 'Timbersaw']","['Omniknight', 'Pangolier', 'Sven', 'Phantom Lancer', 'Spectre', 'Invoker', 'Batrider']","['Terrorblade', 'Elder Titan', 'Lina', 'Sand King', 'Rubick']","['Clinkz', 'Leshrac', 'Tidehunter', 'Earthshaker', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",29 : 46
Alliance vs beastcoast,1.39-3.06,3.35(1.95)3.35,-,23 Августа 21:40 2021,ESL One Fall 2021,Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']",beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Wisper', 'Scofield']","['Keeper of the Light', 'Earthshaker', 'Ancient Apparition', 'Earth Spirit', 'Phoenix', 'Chen', 'Batrider']","['Magnus', 'Omniknight', 'Slark', 'Winter Wyvern', 'Lifestealer', 'Morphling', 'Spectre']","['Juggernaut', 'Lina', 'Beastmaster', 'Sand King', 'Treant Protector']","['Sven', 'Pangolier', 'Dark Seer', 'Leshrac', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",8 : 25
SG e-sports vs Team Empire,1.48-2.68,5.90(1.97)2.31,-,23 Августа 21:40 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']","['Invoker', 'Keeper of the Light', 'Morphling', 'Slark', 'Medusa', 'Void Spirit', 'Storm Spirit']","['Io', 'Pangolier', 'Phoenix', 'Lycan', 'Doom', 'Razor', 'Windranger']","['Sven', 'Sand King', 'Axe', 'Mirana', 'Omniknight']","['Lifestealer', 'Outworld Destroyer', 'Night Stalker', 'Earthshaker', 'Lich']","<span class=""team__title-label"">Победа</span>",,35 : 20
SG e-sports vs Team Empire,1.48-2.68,5.90(1.97)2.31,-,23 Августа 21:40 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']","['Invoker', 'Keeper of the Light', 'Slark', 'Sand King', 'Ursa', 'Lina', 'Queen of Pain']","['Io', 'Sven', 'Pangolier', 'Beastmaster', 'Lycan', 'Razor', 'Puck']","['Gyrocopter', 'Batrider', 'Timbersaw', 'Lion', 'Chen']","['Medusa', 'Void Spirit', 'Kunkka', 'Mirana', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",2 : 18
Team Spirit vs Creepwave,1.76-2.09,1.42(3.20)10.50,-,23 Августа 19:10 2021,ESL One Fall 2021,Creepwave,"['ATF', 'Fishman', '---', 'Crystallis', 'Chuvash']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Magnus', 'Rubick', 'Medusa', 'Slark', 'Morphling', 'Abaddon', 'Shadow Demon']","['Monkey King', 'Invoker', 'Nyx Assassin', 'Pangolier', 'Ember Spirit', 'Razor', 'Viper']","['Tidehunter', 'Omniknight', 'Queen of Pain', 'Sven', 'Lion']","['Troll Warlord', 'Void Spirit', 'Mars', 'Phoenix', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",18 : 32
Team Spirit vs Creepwave,1.76-2.09,1.42(3.20)10.50,-,23 Августа 19:10 2021,ESL One Fall 2021,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",Creepwave,"['---', 'ATF', 'Fishman', 'Crystallis', 'Chuvash']","['Monkey King', 'Invoker', 'Nyx Assassin', 'Ember Spirit', 'Anti-Mage', 'Puck', 'Mars']","['Magnus', 'Phoenix', 'Tidehunter', 'Bloodseeker', 'Medusa', 'Slark', 'Troll Warlord']","['Terrorblade', 'Storm Spirit', 'Sand King', 'Mirana', 'Keeper of the Light']","['Void Spirit', 'Underlord', 'Bane', 'Sven', 'Dark Willow']","<span class=""team__title-label"">Победа</span>",,37 : 9
Team Liquid vs PSG.LGD,1.72-2.15,5.90(2.30)1.97,-,23 Августа 19:10 2021,ESL One Fall 2021,PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Lycan', 'Lone Druid', 'Anti-Mage', 'Monkey King', 'Earth Spirit', 'Batrider', 'Dark Seer']","['Clinkz', 'Omniknight', 'Leshrac', 'Puck', 'Faceless Void', 'Medusa', 'Slark']","['Pangolier', 'Terrorblade', 'Sand King', 'Keeper of the Light', 'Elder Titan']","['Templar Assassin', 'Void Spirit', 'Timbersaw', 'Nyx Assassin', 'Bane']","<span class=""team__title-label"">Победа</span>",,27 : 13
Team Liquid vs PSG.LGD,1.72-2.15,5.90(2.30)1.97,-,23 Августа 19:10 2021,ESL One Fall 2021,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']","['Clinkz', 'Omniknight', 'Sand King', 'Bloodseeker', 'Dark Willow', 'Slark', 'Ursa']","['Lone Druid', 'Keeper of the Light', 'Monkey King', 'Beastmaster', 'Spectre', 'Troll Warlord', 'Lycan']","['Pudge', 'Sniper', 'Void Spirit', 'Pangolier', 'Crystal Maiden']","['Leshrac', 'Night Stalker', 'Slardar', 'Skywrath Mage', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",31 : 48
SG e-sports vs beastcoast,1.50-2.63,4.30(1.95)2.70,-,23 Августа 16:40 2021,ESL One Fall 2021,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']","['Omniknight', 'Io', 'Slark', 'Lifestealer', 'Timbersaw', 'Venomancer', 'Mars']","['Keeper of the Light', 'Nyx Assassin', 'Void Spirit', 'Batrider', 'Silencer', 'Dark Seer', 'Puck']","['Pangolier', 'Sven', 'Ancient Apparition', 'Sand King', 'Earth Spirit']","['Medusa', 'Tiny', 'Magnus', 'Phoenix', 'Winter Wyvern']","<span class=""team__title-label"">Победа</span>",,41 : 21
SG e-sports vs beastcoast,1.50-2.63,4.30(1.95)2.70,-,23 Августа 16:40 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']","['Earth Spirit', 'Keeper of the Light', 'Bloodseeker', 'Timbersaw', 'Phantom Lancer', 'Kunkka', 'Monkey King']","['Io', 'Sven', 'Enchantress', 'Lifestealer', 'Shadow Demon', 'Dragon Knight', 'Lion']","['Gyrocopter', 'Doom', 'Lycan', 'Disruptor', 'Pangolier']","['Elder Titan', 'Slark', 'Batrider', 'Sand King', 'Puck']",,"<span class=""team__title-label"">Победа</span>",19 : 39
Virtus.pro vs Tundra Esports,2.22-1.68,2.40(2.15)4.40,-,23 Августа 16:30 2021,ESL One Fall 2021,Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']",Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']","['Magnus', 'Phoenix', 'Phantom Lancer', 'Terrorblade', 'Morphling', 'Naga Siren', 'Phantom Assassin']","['Pangolier', 'Gyrocopter', 'Sven', 'Lion', 'Slark', 'Medusa', 'Faceless Void']","['Omniknight', 'Weaver', 'Keeper of the Light', 'Lycan', 'Earthshaker']","['Bloodseeker', 'Ember Spirit', 'Tidehunter', 'Shadow Demon', 'Winter Wyvern']",,"<span class=""team__title-label"">Победа</span>",17 : 31
Virtus.pro vs Tundra Esports,2.22-1.68,2.40(2.15)4.40,-,23 Августа 16:30 2021,ESL One Fall 2021,Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']",Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']","['Pangolier', 'Gyrocopter', 'Batrider', 'Bloodseeker', 'Terrorblade', 'Lifestealer', 'Medusa']","['Omniknight', 'Winter Wyvern', 'Faceless Void', 'Slark', 'Sven', 'Phantom Lancer', 'Naga Siren']","['Void Spirit', 'Templar Assassin', 'Mars', 'Lion', 'Phoenix']","['Nyx Assassin', 'Wraith King', 'Keeper of the Light', 'Visage', 'Tidehunter']","<span class=""team__title-label"">Победа</span>",,39 : 13
Team Aster vs Elephant,2.47-1.56,1.02-11.00,-,23 Августа 14:09 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Nyx Assassin', 'Lina', 'Silencer', 'Troll Warlord', 'Shadow Demon', 'Doom', 'Bristleback']","['Tidehunter', 'Clockwerk', 'Weaver', 'Timbersaw', 'Night Stalker', 'Sven', 'Anti-Mage']","['Riki', 'Queen of Pain', 'Death Prophet', 'Earthshaker', 'Omniknight']","['Monkey King', 'Storm Spirit', 'Pangolier', 'Keeper of the Light', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",12 : 31
Team Aster vs Elephant,2.47-1.56,1.02-11.00,-,23 Августа 14:09 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Nyx Assassin', 'Lina', 'Juggernaut', 'Lifestealer', 'Troll Warlord', 'Slardar', 'Legion Commander']","['Tidehunter', 'Clockwerk', 'Sand King', 'Sven', 'Timbersaw', 'Batrider', 'Brewmaster']","['Anti-Mage', 'Ember Spirit', 'Keeper of the Light', 'Earthshaker', 'Witch Doctor']","['Monkey King', 'Storm Spirit', 'Axe', 'Skywrath Mage', 'Chen']",,"<span class=""team__title-label"">Победа</span>",13 : 29
Alliance vs PSG.LGD,1.63-2.31,3.80(2.10)2.70,-,23 Августа 14:00 2021,ESL One Fall 2021,PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Keeper of the Light', 'Chen', 'Earthshaker', 'Beastmaster', 'Spectre', 'Anti-Mage', 'Morphling']","['Omniknight', 'Pangolier', 'Nyx Assassin', 'Faceless Void', 'Silencer', 'Lycan', 'Broodmother']","['Leshrac', 'Clinkz', 'Sand King', 'Elder Titan', 'Vengeful Spirit']","['Medusa', 'Batrider', 'Mars', 'Dark Willow', 'Winter Wyvern']","<span class=""team__title-label"">Победа</span>",,29 : 15
Alliance vs PSG.LGD,1.63-2.31,3.80(2.10)2.70,-,23 Августа 14:00 2021,ESL One Fall 2021,PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Chen', 'Batrider', 'Beastmaster', 'Lina', 'Puck', 'Death Prophet', 'Invoker']","['Keeper of the Light', 'Pangolier', 'Sand King', 'Leshrac', 'Outworld Destroyer', 'Slardar', 'Night Stalker']","['Ursa', 'Clinkz', 'Undying', 'Snapfire', 'Faceless Void']","['Sven', 'Pugna', 'Axe', 'Phoenix', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,40 : 40
Team Liquid vs Team Empire,2.25-1.66,2.08(2.20)6.50,-,23 Августа 14:00 2021,ESL One Fall 2021,Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Omniknight', 'Lone Druid', 'Bloodseeker', 'Lycan', 'Nyx Assassin', 'Gyrocopter', 'Faceless Void']","['Beastmaster', 'Invoker', 'Sven', 'Slark', 'Terrorblade', 'Medusa', 'Luna']","['Phantom Lancer', 'Ember Spirit', 'Pangolier', 'Keeper of the Light', 'Hoodwink']","['Magnus', 'Monkey King', 'Mars', 'Dark Willow', 'Bane']",,"<span class=""team__title-label"">Победа</span>",8 : 35
Team Liquid vs Team Empire,2.25-1.66,2.08(2.20)6.50,-,23 Августа 14:00 2021,ESL One Fall 2021,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']","['Invoker', 'Beastmaster', 'Razor', 'Timbersaw', 'Doom', 'Faceless Void', 'Ursa']","['Lone Druid', 'Keeper of the Light', 'Void Spirit', 'Batrider', 'Mars', 'Dark Seer', 'Pugna']","['Sven', 'Storm Spirit', 'Legion Commander', 'Earth Spirit', 'Omniknight']","['Lifestealer', 'Lina', 'Night Stalker', 'Earthshaker', 'Lich']",,"<span class=""team__title-label"">Победа</span>",12 : 26
Aster.Aries vs Invictus Gaming,6.08-1.13,10.00-1.03,-,23 Августа 11:07 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Nyx Assassin', 'Storm Spirit', 'Lycan', 'Tidehunter', 'Earth Spirit', 'Slark', 'Monkey King']","['Broodmother', 'Doom', 'Magnus', 'Timbersaw', 'Abaddon', 'Beastmaster', 'Dark Seer']","['Sven', 'Lina', 'Bloodseeker', 'Clockwerk', 'Omniknight']","['Morphling', 'Void Spirit', 'Night Stalker', 'Keeper of the Light', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",22 : 33
Aster.Aries vs Invictus Gaming,6.08-1.13,10.00-1.03,-,23 Августа 11:07 2021,i-League 2021 Season 2,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']","['Broodmother', 'Doom', 'Clockwerk', 'Omniknight', 'Night Stalker', 'Bloodseeker', 'Magnus']","['Silencer', 'Nyx Assassin', 'Anti-Mage', 'Tidehunter', 'Abaddon', 'Beastmaster', 'Batrider']","['Weaver', 'Lina', 'Lycan', 'Earthshaker', 'Oracle']","['Monkey King', 'Storm Spirit', 'Mars', 'Keeper of the Light', 'Bane']","<span class=""team__title-label"">Победа</span>",,25 : 14
Team Undying vs NoPing e-sports,1.20-4.70,2.13-1.66,-,23 Августа 03:00 2021,BTS Pro Series Season 7: Americas,NoPing e-sports,"['pakazs', 'DarkMago', 'Oscar', 'Matthew', 'Panda']",Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']",[],[],"['Faceless Void', 'Tiny', 'Mars', 'Lion', 'Omniknight']","['Wraith King', 'Keeper of the Light', 'Underlord', 'Pangolier', 'Shadow Demon']","<span class=""team__title-label"">Победа</span>",,37 : 35
Team Undying vs NoPing e-sports,1.20-4.70,2.13-1.66,-,23 Августа 03:00 2021,BTS Pro Series Season 7: Americas,Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']",NoPing e-sports,"['pakazs', 'DarkMago', 'Oscar', 'Matthew', 'Panda']","['Omniknight', 'Viper', 'Sven', 'Medusa', 'Luna', 'Bane', 'Winter Wyvern']","['Beastmaster', 'Lycan', 'Queen of Pain', 'Legion Commander', 'Slark', 'Doom', 'Sand King']","['Juggernaut', 'Clinkz', 'Kunkka', 'Grimstroke', 'Chen']","['Gyrocopter', 'Batrider', 'Mars', 'Nyx Assassin', 'Lich']",,"<span class=""team__title-label"">Победа</span>",4 : 25
Team Undying vs NoPing e-sports,1.20-4.70,2.13-1.66,-,23 Августа 03:00 2021,BTS Pro Series Season 7: Americas,NoPing e-sports,"['pakazs', 'DarkMago', 'Oscar', 'Matthew', 'Panda']",Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']","['Beastmaster', 'Lycan', 'Legion Commander', 'Abaddon', 'Pangolier', 'Terrorblade', 'Medusa']","['Nyx Assassin', 'Omniknight', 'Faceless Void', 'Gyrocopter', 'Sven', 'Tidehunter', 'Tiny']","['Luna', 'Mars', 'Timbersaw', 'Io', 'Viper']","['Morphling', 'Void Spirit', 'Sand King', 'Mirana', 'Keeper of the Light']",,"<span class=""team__title-label"">Победа</span>",15 : 29
Team Undying vs NoPing e-sports,1.20-4.70,2.13-1.66,-,23 Августа 03:00 2021,BTS Pro Series Season 7: Americas,NoPing e-sports,"['pakazs', 'DarkMago', 'Oscar', 'Matthew', 'Panda']",Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']","['Beastmaster', 'Lycan', 'Legion Commander', 'Morphling', 'Mirana', 'Anti-Mage', 'Terrorblade']","['Omniknight', 'Nyx Assassin', 'Faceless Void', 'Sven', 'Gyrocopter', 'Kunkka', 'Tiny']","['Medusa', 'Ember Spirit', 'Mars', 'Lion', 'Viper']","['Phantom Assassin', 'Void Spirit', 'Sand King', 'Hoodwink', 'Keeper of the Light']",,"<span class=""team__title-label"">Победа</span>",21 : 40
